0 - CaLL: PTP; MODE: SiMPLE; HANDOVER: OK;
1 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_12; OMU2: tmu_1_11; HandOver: OK;
1 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_3; OMU2: tmu_1_4; HandOver: OK;
1 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_4; OMU2: tmu_1_12; HandOver: OK;
1 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_11; OMU2: tmu_0_13; HandOver: OK;
1 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_13; OMU2: tmu_0_4; HandOver: OK;
1 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_12; OMU2: tmu_1_14; HandOver: OK;
1 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_1; OMU2: tmu_0_12; HandOver: OK;
1 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_14; OMU2: tmu_1_13; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_13; OMU2: tmu_0_4; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_14; OMU2: tmu_1_13; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_3; OMU2: tmu_1_13; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_14; OMU2: tmu_0_4; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_11; OMU2: tmu_1_4; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_4; OMU2: tmu_0_12; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_14; OMU2: tmu_1_4; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_1; OMU2: tmu_0_12; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_13; OMU2: tmu_0_13; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_1; OMU2: tmu_1_11; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_12; OMU2: tmu_0_13; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_12; OMU2: tmu_1_14; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_4; OMU2: tmu_1_12; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_12; OMU2: tmu_0_12; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_1; OMU2: tmu_0_4; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_12; OMU2: tmu_0_4; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_3; OMU2: tmu_1_12; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_3; OMU2: tmu_1_4; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_1; OMU2: tmu_1_13; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_4; OMU2: tmu_1_14; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_12; OMU2: tmu_1_11; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_11; OMU2: tmu_1_12; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_4; OMU2: tmu_0_13; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_3; OMU2: tmu_1_14; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_13; OMU2: tmu_1_13; HandOver: OK;
2 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_11; OMU2: tmu_1_11; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_3; OMU2: tmu_0_4; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_1; OMU2: tmu_1_11; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_13; OMU2: tmu_1_14; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_14; OMU2: tmu_1_13; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_4; OMU2: tmu_1_14; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_1; OMU2: tmu_0_4; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_12; OMU2: tmu_1_4; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_3; OMU2: tmu_0_12; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_12; OMU2: tmu_1_14; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_4; OMU2: tmu_1_11; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_4; OMU2: tmu_0_4; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_4; OMU2: tmu_1_12; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_4; OMU2: tmu_1_11; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_4; OMU2: tmu_0_4; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_13; OMU2: tmu_1_13; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_12; OMU2: tmu_1_14; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_3; OMU2: tmu_0_4; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_12; OMU2: tmu_1_11; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_14; OMU2: tmu_0_12; HandOver: ERROR;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_12; OMU2: tmu_0_13; HandOver: ERROR;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_3; OMU2: tmu_1_4; HandOver: ERROR;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_11; OMU2: tmu_1_4; HandOver: ERROR;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_14; OMU2: tmu_1_11; HandOver: ERROR;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_4; OMU2: tmu_0_12; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_1; OMU2: tmu_0_13; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_12; OMU2: tmu_1_13; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_3; OMU2: tmu_0_13; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_11; OMU2: tmu_1_14; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_14; OMU2: tmu_1_13; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_12; OMU2: tmu_0_12; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_3; OMU2: tmu_1_4; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_1; OMU2: tmu_1_13; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_11; OMU2: tmu_1_4; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_3; OMU2: tmu_1_13; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_13; OMU2: tmu_0_13; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_14; OMU2: tmu_1_13; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_11; OMU2: tmu_1_4; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_0_14; OMU2: tmu_1_13; HandOver: OK;
3 - CALL: PTP; MODE: RTMU; OMU1: tmu_1_11; OMU2: tmu_1_11; HandOver: OK;
